ID,Title,Brand,Category,Price,Discount %,Rating,Stock,Description,Thumbnail
11,Annibale Colombo Bed,Annibale Colombo,furniture,1899.99,8.57,4.77,88,"The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.",https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/thumbnail.webp
12,Annibale Colombo Sofa,Annibale Colombo,furniture,2499.99,14.4,3.92,60,"The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.",https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/thumbnail.webp
13,Bedside Table African Cherry,Furniture Co.,furniture,299.99,19.09,2.87,64,"The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.",https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/thumbnail.webp
14,Knoll Saarinen Executive Conference Chair,Knoll,furniture,499.99,2.01,4.88,26,"The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.",https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/thumbnail.webp
15,Wooden Bathroom Sink With Mirror,Bath Trends,furniture,799.99,8.8,3.59,7,"The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.",https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/thumbnail.webp
16,Apple,,groceries,1.99,12.62,4.19,8,"Fresh and crisp apples, perfect for snacking or incorporating into various recipes.",https://cdn.dummyjson.com/product-images/groceries/apple/thumbnail.webp
17,Beef Steak,,groceries,12.99,9.61,4.47,86,"High-quality beef steak, great for grilling or cooking to your preferred level of doneness.",https://cdn.dummyjson.com/product-images/groceries/beef-steak/thumbnail.webp
18,Cat Food,,groceries,8.99,9.58,3.13,46,Nutritious cat food formulated to meet the dietary needs of your feline friend.,https://cdn.dummyjson.com/product-images/groceries/cat-food/thumbnail.webp
19,Chicken Meat,,groceries,9.99,13.7,3.19,97,"Fresh and tender chicken meat, suitable for various culinary preparations.",https://cdn.dummyjson.com/product-images/groceries/chicken-meat/thumbnail.webp
20,Cooking Oil,,groceries,4.99,9.33,4.8,10,"Versatile cooking oil suitable for frying, sautéing, and various culinary applications.",https://cdn.dummyjson.com/product-images/groceries/cooking-oil/thumbnail.webp
21,Cucumber,,groceries,1.49,0.16,4.07,84,"Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.",https://cdn.dummyjson.com/product-images/groceries/cucumber/thumbnail.webp
22,Dog Food,,groceries,10.99,10.27,4.55,71,Specially formulated dog food designed to provide essential nutrients for your canine companion.,https://cdn.dummyjson.com/product-images/groceries/dog-food/thumbnail.webp
23,Eggs,,groceries,2.99,11.05,2.53,9,"Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.",https://cdn.dummyjson.com/product-images/groceries/eggs/thumbnail.webp
24,Fish Steak,,groceries,14.99,4.23,3.78,74,"Quality fish steak, suitable for grilling, baking, or pan-searing.",https://cdn.dummyjson.com/product-images/groceries/fish-steak/thumbnail.webp
25,Green Bell Pepper,,groceries,1.29,0.16,3.25,33,"Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.",https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/thumbnail.webp
26,Green Chili Pepper,,groceries,0.99,1,3.66,3,"Spicy green chili pepper, ideal for adding heat to your favorite recipes.",https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/thumbnail.webp
27,Honey Jar,,groceries,6.99,14.4,3.97,34,"Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.",https://cdn.dummyjson.com/product-images/groceries/honey-jar/thumbnail.webp
28,Ice Cream,,groceries,5.49,8.69,3.39,27,"Creamy and delicious ice cream, available in various flavors for a delightful treat.",https://cdn.dummyjson.com/product-images/groceries/ice-cream/thumbnail.webp
29,Juice,,groceries,3.99,12.06,3.94,50,"Refreshing fruit juice, packed with vitamins and great for staying hydrated.",https://cdn.dummyjson.com/product-images/groceries/juice/thumbnail.webp
30,Kiwi,,groceries,2.49,15.22,4.93,99,"Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.",https://cdn.dummyjson.com/product-images/groceries/kiwi/thumbnail.webp
31,Lemon,,groceries,0.79,9.7,3.53,31,"Zesty and tangy lemons, versatile for cooking, baking, or making refreshing beverages.",https://cdn.dummyjson.com/product-images/groceries/lemon/thumbnail.webp
32,Milk,,groceries,3.49,13.74,2.61,27,"Fresh and nutritious milk, a staple for various recipes and daily consumption.",https://cdn.dummyjson.com/product-images/groceries/milk/thumbnail.webp
33,Mulberry,,groceries,4.99,12.87,4.95,99,"Sweet and juicy mulberries, perfect for snacking or adding to desserts and cereals.",https://cdn.dummyjson.com/product-images/groceries/mulberry/thumbnail.webp
34,Nescafe Coffee,,groceries,7.99,1.59,4.82,57,"Quality coffee from Nescafe, available in various blends for a rich and satisfying cup.",https://cdn.dummyjson.com/product-images/groceries/nescafe-coffee/thumbnail.webp
35,Potatoes,,groceries,2.29,5.38,4.81,13,"Versatile and starchy potatoes, great for roasting, mashing, or as a side dish.",https://cdn.dummyjson.com/product-images/groceries/potatoes/thumbnail.webp
36,Protein Powder,,groceries,19.99,7.59,4.18,80,"Nutrient-packed protein powder, ideal for supplementing your diet with essential proteins.",https://cdn.dummyjson.com/product-images/groceries/protein-powder/thumbnail.webp
37,Red Onions,,groceries,1.99,9.9,4.2,82,"Flavorful and aromatic red onions, perfect for adding depth to your savory dishes.",https://cdn.dummyjson.com/product-images/groceries/red-onions/thumbnail.webp
38,Rice,,groceries,5.99,9.29,3.18,59,"High-quality rice, a staple for various cuisines and a versatile base for many dishes.",https://cdn.dummyjson.com/product-images/groceries/rice/thumbnail.webp
39,Soft Drinks,,groceries,1.99,17.48,4.75,53,"Assorted soft drinks in various flavors, perfect for refreshing beverages.",https://cdn.dummyjson.com/product-images/groceries/soft-drinks/thumbnail.webp
40,Strawberry,,groceries,3.99,1.12,3.08,46,"Sweet and succulent strawberries, great for snacking, desserts, or blending into smoothies.",https://cdn.dummyjson.com/product-images/groceries/strawberry/thumbnail.webp
41,Tissue Paper Box,,groceries,2.49,13.28,2.69,86,"Convenient tissue paper box for everyday use, providing soft and absorbent tissues.",https://cdn.dummyjson.com/product-images/groceries/tissue-paper-box/thumbnail.webp
42,Water,,groceries,0.99,14.92,4.96,53,"Pure and refreshing bottled water, essential for staying hydrated throughout the day.",https://cdn.dummyjson.com/product-images/groceries/water/thumbnail.webp
43,Decoration Swing,,home-decoration,59.99,10.41,3.16,47,"The Decoration Swing is a charming addition to your home decor. Crafted with intricate details, it adds a touch of elegance and whimsy to any room.",https://cdn.dummyjson.com/product-images/home-decoration/decoration-swing/thumbnail.webp
44,Family Tree Photo Frame,,home-decoration,29.99,14.87,4.53,77,"The Family Tree Photo Frame is a sentimental and stylish way to display your cherished family memories. With multiple photo slots, it tells the story of your loved ones.",https://cdn.dummyjson.com/product-images/home-decoration/family-tree-photo-frame/thumbnail.webp
45,House Showpiece Plant,,home-decoration,39.99,7.46,4.67,28,The House Showpiece Plant is an artificial plant that brings a touch of nature to your home without the need for maintenance. It adds greenery and style to any space.,https://cdn.dummyjson.com/product-images/home-decoration/house-showpiece-plant/thumbnail.webp
46,Plant Pot,,home-decoration,14.99,6.84,3.01,59,"The Plant Pot is a stylish container for your favorite plants. With a sleek design, it complements your indoor or outdoor garden, adding a modern touch to your plant display.",https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/thumbnail.webp
47,Table Lamp,,home-decoration,49.99,7.09,3.55,9,"The Table Lamp is a functional and decorative lighting solution for your living space. With a modern design, it provides both ambient and task lighting, enhancing the atmosphere.",https://cdn.dummyjson.com/product-images/home-decoration/table-lamp/thumbnail.webp
48,Bamboo Spatula,,kitchen-accessories,7.99,2.84,3.27,37,"The Bamboo Spatula is a versatile kitchen tool made from eco-friendly bamboo. Ideal for flipping, stirring, and serving various dishes.",https://cdn.dummyjson.com/product-images/kitchen-accessories/bamboo-spatula/thumbnail.webp
49,Black Aluminium Cup,,kitchen-accessories,5.99,15.65,4.46,75,The Black Aluminium Cup is a stylish and durable cup suitable for both hot and cold beverages. Its sleek black design adds a modern touch to your drinkware collection.,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-aluminium-cup/thumbnail.webp
50,Black Whisk,,kitchen-accessories,9.99,10.24,3.9,73,The Black Whisk is a kitchen essential for whisking and beating ingredients. Its ergonomic handle and sleek design make it a practical and stylish tool.,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-whisk/thumbnail.webp
51,Boxed Blender,,kitchen-accessories,39.99,7.26,4.56,9,"The Boxed Blender is a powerful and compact blender perfect for smoothies, shakes, and more. Its convenient design and multiple functions make it a versatile kitchen appliance.",https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/thumbnail.webp
52,Carbon Steel Wok,,kitchen-accessories,29.99,6.53,4.05,40,"The Carbon Steel Wok is a versatile cooking pan suitable for stir-frying, sautéing, and deep frying. Its sturdy construction ensures even heat distribution for delicious meals.",https://cdn.dummyjson.com/product-images/kitchen-accessories/carbon-steel-wok/thumbnail.webp
53,Chopping Board,,kitchen-accessories,12.99,8.03,3.7,14,"The Chopping Board is an essential kitchen accessory for food preparation. Made from durable material, it provides a safe and hygienic surface for cutting and chopping.",https://cdn.dummyjson.com/product-images/kitchen-accessories/chopping-board/thumbnail.webp
54,Citrus Squeezer Yellow,,kitchen-accessories,8.99,12.1,4.63,22,The Citrus Squeezer in Yellow is a handy tool for extracting juice from citrus fruits. Its vibrant color adds a cheerful touch to your kitchen gadgets.,https://cdn.dummyjson.com/product-images/kitchen-accessories/citrus-squeezer-yellow/thumbnail.webp
55,Egg Slicer,,kitchen-accessories,6.99,14.76,3.09,40,"The Egg Slicer is a convenient tool for slicing boiled eggs evenly. It's perfect for salads, sandwiches, and other dishes where sliced eggs are desired.",https://cdn.dummyjson.com/product-images/kitchen-accessories/egg-slicer/thumbnail.webp
56,Electric Stove,,kitchen-accessories,49.99,14.04,4.11,21,The Electric Stove provides a portable and efficient cooking solution. Ideal for small kitchens or as an additional cooking surface for various culinary needs.,https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/thumbnail.webp
57,Fine Mesh Strainer,,kitchen-accessories,9.99,3.5,3.04,85,The Fine Mesh Strainer is a versatile tool for straining liquids and sifting dry ingredients. Its fine mesh ensures efficient filtering for smooth cooking and baking.,https://cdn.dummyjson.com/product-images/kitchen-accessories/fine-mesh-strainer/thumbnail.webp
58,Fork,,kitchen-accessories,3.99,8.07,3.11,7,The Fork is a classic utensil for various dining and serving purposes. Its durable and ergonomic design makes it a reliable choice for everyday use.,https://cdn.dummyjson.com/product-images/kitchen-accessories/fork/thumbnail.webp
59,Glass,,kitchen-accessories,4.99,7.92,4.02,46,The Glass is a versatile and elegant drinking vessel suitable for a variety of beverages. Its clear design allows you to enjoy the colors and textures of your drinks.,https://cdn.dummyjson.com/product-images/kitchen-accessories/glass/thumbnail.webp
60,Grater Black,,kitchen-accessories,10.99,3.56,3.21,84,"The Grater in Black is a handy kitchen tool for grating cheese, vegetables, and more. Its sleek design and sharp blades make food preparation efficient and easy.",https://cdn.dummyjson.com/product-images/kitchen-accessories/grater-black/thumbnail.webp
61,Hand Blender,,kitchen-accessories,34.99,17.02,3.86,84,"The Hand Blender is a versatile kitchen appliance for blending, pureeing, and mixing. Its compact design and powerful motor make it a convenient tool for various recipes.",https://cdn.dummyjson.com/product-images/kitchen-accessories/hand-blender/thumbnail.webp
62,Ice Cube Tray,,kitchen-accessories,5.99,0.63,4.71,13,The Ice Cube Tray is a practical accessory for making ice cubes in various shapes. Perfect for keeping your drinks cool and adding a fun element to your beverages.,https://cdn.dummyjson.com/product-images/kitchen-accessories/ice-cube-tray/thumbnail.webp
63,Kitchen Sieve,,kitchen-accessories,7.99,18.91,3.09,68,The Kitchen Sieve is a versatile tool for sifting and straining dry and wet ingredients. Its fine mesh design ensures smooth results in your cooking and baking.,https://cdn.dummyjson.com/product-images/kitchen-accessories/kitchen-sieve/thumbnail.webp
64,Knife,,kitchen-accessories,14.99,18.86,3.26,7,"The Knife is an essential kitchen tool for chopping, slicing, and dicing. Its sharp blade and ergonomic handle make it a reliable choice for food preparation.",https://cdn.dummyjson.com/product-images/kitchen-accessories/knife/thumbnail.webp
65,Lunch Box,,kitchen-accessories,12.99,10.34,4.93,94,"The Lunch Box is a convenient and portable container for packing and carrying your meals. With compartments for different foods, it's perfect for on-the-go dining.",https://cdn.dummyjson.com/product-images/kitchen-accessories/lunch-box/thumbnail.webp
66,Microwave Oven,,kitchen-accessories,89.99,12.13,4.82,59,"The Microwave Oven is a versatile kitchen appliance for quick and efficient cooking, reheating, and defrosting. Its compact size makes it suitable for various kitchen setups.",https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/thumbnail.webp
67,Mug Tree Stand,,kitchen-accessories,15.99,9.25,2.64,88,The Mug Tree Stand is a stylish and space-saving solution for organizing your mugs. Keep your favorite mugs easily accessible and neatly displayed in your kitchen.,https://cdn.dummyjson.com/product-images/kitchen-accessories/mug-tree-stand/thumbnail.webp
68,Pan,,kitchen-accessories,24.99,3,2.79,90,"The Pan is a versatile and essential cookware item for frying, sautéing, and cooking various dishes. Its non-stick coating ensures easy food release and cleanup.",https://cdn.dummyjson.com/product-images/kitchen-accessories/pan/thumbnail.webp
69,Plate,,kitchen-accessories,3.99,7.31,3.65,66,The Plate is a classic and essential dishware item for serving meals. Its durable and stylish design makes it suitable for everyday use or special occasions.,https://cdn.dummyjson.com/product-images/kitchen-accessories/plate/thumbnail.webp
70,Red Tongs,,kitchen-accessories,6.99,14.52,4.42,82,The Red Tongs are versatile kitchen tongs suitable for various cooking and serving tasks. Their vibrant color adds a pop of excitement to your kitchen utensils.,https://cdn.dummyjson.com/product-images/kitchen-accessories/red-tongs/thumbnail.webp
71,Silver Pot With Glass Cap,,kitchen-accessories,39.99,5.7,3.22,40,"The Silver Pot with Glass Cap is a stylish and functional cookware item for boiling, simmering, and preparing delicious meals. Its glass cap allows you to monitor cooking progress.",https://cdn.dummyjson.com/product-images/kitchen-accessories/silver-pot-with-glass-cap/thumbnail.webp
72,Slotted Turner,,kitchen-accessories,8.99,13.35,3.4,88,"The Slotted Turner is a kitchen utensil designed for flipping and turning food items. Its slotted design allows excess liquid to drain, making it ideal for frying and sautéing.",https://cdn.dummyjson.com/product-images/kitchen-accessories/slotted-turner/thumbnail.webp
73,Spice Rack,,kitchen-accessories,19.99,12.09,4.87,79,The Spice Rack is a convenient organizer for your spices and seasonings. Keep your kitchen essentials within reach and neatly arranged with this stylish spice rack.,https://cdn.dummyjson.com/product-images/kitchen-accessories/spice-rack/thumbnail.webp
74,Spoon,,kitchen-accessories,4.99,1.53,4.03,59,"The Spoon is a versatile kitchen utensil for stirring, serving, and tasting. Its ergonomic design and durable construction make it an essential tool for every kitchen.",https://cdn.dummyjson.com/product-images/kitchen-accessories/spoon/thumbnail.webp
75,Tray,,kitchen-accessories,16.99,7.48,4.62,71,"The Tray is a functional and decorative item for serving snacks, appetizers, or drinks. Its stylish design makes it a versatile accessory for entertaining guests.",https://cdn.dummyjson.com/product-images/kitchen-accessories/tray/thumbnail.webp
76,Wooden Rolling Pin,,kitchen-accessories,11.99,9.75,2.92,80,The Wooden Rolling Pin is a classic kitchen tool for rolling out dough for baking. Its smooth surface and sturdy handles make it easy to achieve uniform thickness.,https://cdn.dummyjson.com/product-images/kitchen-accessories/wooden-rolling-pin/thumbnail.webp
77,Yellow Peeler,,kitchen-accessories,5.99,12.48,4.24,35,The Yellow Peeler is a handy tool for peeling fruits and vegetables with ease. Its bright yellow color adds a cheerful touch to your kitchen gadgets.,https://cdn.dummyjson.com/product-images/kitchen-accessories/yellow-peeler/thumbnail.webp
78,Apple MacBook Pro 14 Inch Space Grey,Apple,laptops,1999.99,4.69,3.65,24,"The MacBook Pro 14 Inch in Space Grey is a powerful and sleek laptop, featuring Apple's M1 Pro chip for exceptional performance and a stunning Retina display.",https://cdn.dummyjson.com/product-images/laptops/apple-macbook-pro-14-inch-space-grey/thumbnail.webp
79,Asus Zenbook Pro Dual Screen Laptop,Asus,laptops,1799.99,11.14,3.95,45,"The Asus Zenbook Pro Dual Screen Laptop is a high-performance device with dual screens, providing productivity and versatility for creative professionals.",https://cdn.dummyjson.com/product-images/laptops/asus-zenbook-pro-dual-screen-laptop/thumbnail.webp
80,Huawei Matebook X Pro,Huawei,laptops,1399.99,9.38,4.98,75,"The Huawei Matebook X Pro is a slim and stylish laptop with a high-resolution touchscreen display, offering a premium experience for users on the go.",https://cdn.dummyjson.com/product-images/laptops/huawei-matebook-x-pro/thumbnail.webp
81,Lenovo Yoga 920,Lenovo,laptops,1099.99,6.55,2.86,40,"The Lenovo Yoga 920 is a 2-in-1 convertible laptop with a flexible hinge, allowing you to use it as a laptop or tablet, offering versatility and portability.",https://cdn.dummyjson.com/product-images/laptops/lenovo-yoga-920/thumbnail.webp
82,New DELL XPS 13 9300 Laptop,Dell,laptops,1499.99,11.89,2.67,74,"The New DELL XPS 13 9300 Laptop is a compact and powerful device, featuring a virtually borderless InfinityEdge display and high-end performance for various tasks.",https://cdn.dummyjson.com/product-images/laptops/new-dell-xps-13-9300-laptop/thumbnail.webp
83,Blue & Black Check Shirt,Fashion Trends,mens-shirts,29.99,15.35,3.64,38,"The Blue & Black Check Shirt is a stylish and comfortable men's shirt featuring a classic check pattern. Made from high-quality fabric, it's suitable for both casual and semi-formal occasions.",https://cdn.dummyjson.com/product-images/mens-shirts/blue-&-black-check-shirt/thumbnail.webp
84,Gigabyte Aorus Men Tshirt,Gigabyte,mens-shirts,24.99,0.94,3.18,90,"The Gigabyte Aorus Men Tshirt is a cool and casual shirt for gaming enthusiasts. With the Aorus logo and sleek design, it's perfect for expressing your gaming style.",https://cdn.dummyjson.com/product-images/mens-shirts/gigabyte-aorus-men-tshirt/thumbnail.webp
85,Man Plaid Shirt,Classic Wear,mens-shirts,34.99,19.5,3.46,82,The Man Plaid Shirt is a timeless and versatile men's shirt with a classic plaid pattern. Its comfortable fit and casual style make it a wardrobe essential for various occasions.,https://cdn.dummyjson.com/product-images/mens-shirts/man-plaid-shirt/thumbnail.webp
86,Man Short Sleeve Shirt,Casual Comfort,mens-shirts,19.99,6.83,2.9,2,"The Man Short Sleeve Shirt is a breezy and stylish option for warm days. With a comfortable fit and short sleeves, it's perfect for a laid-back yet polished look.",https://cdn.dummyjson.com/product-images/mens-shirts/man-short-sleeve-shirt/thumbnail.webp
87,Men Check Shirt,Urban Chic,mens-shirts,27.99,11.38,2.72,95,"The Men Check Shirt is a classic and versatile shirt featuring a stylish check pattern. Suitable for various occasions, it adds a smart and polished touch to your wardrobe.",https://cdn.dummyjson.com/product-images/mens-shirts/men-check-shirt/thumbnail.webp
88,Nike Air Jordan 1 Red And Black,Nike,mens-shoes,149.99,4.12,4.77,7,"The Nike Air Jordan 1 in Red and Black is an iconic basketball sneaker known for its stylish design and high-performance features, making it a favorite among sneaker enthusiasts and athletes.",https://cdn.dummyjson.com/product-images/mens-shoes/nike-air-jordan-1-red-and-black/thumbnail.webp
89,Nike Baseball Cleats,Nike,mens-shoes,79.99,18.04,3.88,12,Nike Baseball Cleats are designed for maximum traction and performance on the baseball field. They provide stability and support for players during games and practices.,https://cdn.dummyjson.com/product-images/mens-shoes/nike-baseball-cleats/thumbnail.webp
90,Puma Future Rider Trainers,Puma,mens-shoes,89.99,4.2,4.9,90,"The Puma Future Rider Trainers offer a blend of retro style and modern comfort. Perfect for casual wear, these trainers provide a fashionable and comfortable option for everyday use.",https://cdn.dummyjson.com/product-images/mens-shoes/puma-future-rider-trainers/thumbnail.webp
91,Sports Sneakers Off White & Red,Off White,mens-shoes,119.99,4.97,4.77,17,"The Sports Sneakers in Off White and Red combine style and functionality, making them a fashionable choice for sports enthusiasts. The red and off-white color combination adds a bold and energetic touch.",https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-&-red/thumbnail.webp
92,Sports Sneakers Off White Red,Off White,mens-shoes,109.99,0.04,4.69,62,"Another variant of the Sports Sneakers in Off White Red, featuring a unique design. These sneakers offer style and comfort for casual occasions.",https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-red/thumbnail.webp
93,Brown Leather Belt Watch,Fashion Timepieces,mens-watches,89.99,5.99,4.19,32,"The Brown Leather Belt Watch is a stylish timepiece with a classic design. Featuring a genuine leather strap and a sleek dial, it adds a touch of sophistication to your look.",https://cdn.dummyjson.com/product-images/mens-watches/brown-leather-belt-watch/thumbnail.webp
94,Longines Master Collection,Longines,mens-watches,1499.99,17.24,3.87,100,"The Longines Master Collection is an elegant and refined watch known for its precision and craftsmanship. With a timeless design, it's a symbol of luxury and sophistication.",https://cdn.dummyjson.com/product-images/mens-watches/longines-master-collection/thumbnail.webp
95,Rolex Cellini Date Black Dial,Rolex,mens-watches,8999.99,8.88,4.97,40,"The Rolex Cellini Date with Black Dial is a classic and prestigious watch. With a black dial and date complication, it exudes sophistication and is a symbol of Rolex's heritage.",https://cdn.dummyjson.com/product-images/mens-watches/rolex-cellini-date-black-dial/thumbnail.webp
96,Rolex Cellini Moonphase,Rolex,mens-watches,12999.99,17.52,2.58,36,"The Rolex Cellini Moonphase is a masterpiece of horology, featuring a moon phase complication and exquisite design. It reflects Rolex's commitment to precision and elegance.",https://cdn.dummyjson.com/product-images/mens-watches/rolex-cellini-moonphase/thumbnail.webp
97,Rolex Datejust,Rolex,mens-watches,10999.99,3.73,3.66,86,"The Rolex Datejust is an iconic and versatile timepiece with a date window. Known for its timeless design and reliability, it's a symbol of Rolex's watchmaking excellence.",https://cdn.dummyjson.com/product-images/mens-watches/rolex-datejust/thumbnail.webp
98,Rolex Submariner Watch,Rolex,mens-watches,13999.99,5.05,2.69,55,"The Rolex Submariner is a legendary dive watch with a rich history. Known for its durability and water resistance, it's a symbol of adventure and exploration.",https://cdn.dummyjson.com/product-images/mens-watches/rolex-submariner-watch/thumbnail.webp
99,Amazon Echo Plus,Amazon,mobile-accessories,99.99,12.07,4.99,61,The Amazon Echo Plus is a smart speaker with built-in Alexa voice control. It features premium sound quality and serves as a hub for controlling smart home devices.,https://cdn.dummyjson.com/product-images/mobile-accessories/amazon-echo-plus/thumbnail.webp
100,Apple Airpods,Apple,mobile-accessories,129.99,15.54,4.15,67,"The Apple Airpods offer a seamless wireless audio experience. With easy pairing, high-quality sound, and Siri integration, they are perfect for on-the-go listening.",https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpods/thumbnail.webp
101,Apple AirPods Max Silver,Apple,mobile-accessories,549.99,13.67,3.47,59,"The Apple AirPods Max in Silver are premium over-ear headphones with high-fidelity audio, adaptive EQ, and active noise cancellation. Experience immersive sound in style.",https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpods-max-silver/thumbnail.webp
102,Apple Airpower Wireless Charger,Apple,mobile-accessories,79.99,4.48,3.68,1,The Apple AirPower Wireless Charger provides a convenient way to charge your compatible Apple devices wirelessly. Simply place your devices on the charging mat for effortless charging.,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpower-wireless-charger/thumbnail.webp
103,Apple HomePod Mini Cosmic Grey,Apple,mobile-accessories,99.99,18.1,4.62,27,The Apple HomePod Mini in Cosmic Grey is a compact smart speaker that delivers impressive audio and integrates seamlessly with the Apple ecosystem for a smart home experience.,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-homepod-mini-cosmic-grey/thumbnail.webp
104,Apple iPhone Charger,Apple,mobile-accessories,19.99,18.52,4.15,31,The Apple iPhone Charger is a high-quality charger designed for fast and efficient charging of your iPhone. Ensure your device stays powered up and ready to go.,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-iphone-charger/thumbnail.webp
105,Apple MagSafe Battery Pack,Apple,mobile-accessories,99.99,17.17,3.62,1,The Apple MagSafe Battery Pack is a portable and convenient way to add extra battery life to your MagSafe-compatible iPhone. Attach it magnetically for a secure connection.,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-magsafe-battery-pack/thumbnail.webp
106,Apple Watch Series 4 Gold,Apple,mobile-accessories,349.99,12.02,2.74,33,"The Apple Watch Series 4 in Gold is a stylish and advanced smartwatch with features like heart rate monitoring, fitness tracking, and a beautiful Retina display.",https://cdn.dummyjson.com/product-images/mobile-accessories/apple-watch-series-4-gold/thumbnail.webp
